epoch,train_loss,val_loss,train_acc,val_acc,lr,timestamp
1,5.332691074772984,4.295653829461501,23.70394856463685,29.712351835645705,2e-05,2025-06-10 17:48:50.101217
2,3.9707754800299635,3.834783761397652,32.01933125797263,32.907367624313,2e-05,2025-06-10 18:08:09.951835
3,3.561892202568714,3.5961259895633804,35.32279206718835,34.660498214804605,2e-05,2025-06-10 18:27:08.746375
4,3.2908260050352647,3.453989232010521,37.60600850700566,35.788562805520684,2e-05,2025-06-10 18:45:51.100634
1,5.36801551287562,4.305417395391954,23.42313121078012,29.579755949526437,2e-05,2025-06-10 19:04:10.600279
2,3.993782208099026,3.8369414702705713,31.681396242450266,32.981687716462396,2e-05,2025-06-10 19:09:18.517065
3,3.583080469353978,3.5967698851121743,34.95673029451045,34.74284201978224,2e-05,2025-06-10 19:14:30.582445
4,3.3109886324529416,3.4507574512082124,37.31567203203051,35.87646220512541,2e-05,2025-06-10 19:19:37.476990
5,3.104152142618531,3.347192143263082,39.1540400385562,36.464305051230625,2e-05,2025-06-10 19:24:50.978339
6,2.9383248704173925,3.278748116474378,40.67135848550589,36.918218557542495,2e-05,2025-06-10 19:30:07.159005
7,2.799294401971173,3.229671723286625,41.88266942922985,37.48608589643546,2e-05,2025-06-10 19:35:27.605219
8,2.6801307861367722,3.187793534263792,42.967191929282144,37.63873766769063,2e-05,2025-06-10 19:40:34.431577
9,2.5762126613122898,3.165319662320284,43.78510088214648,37.76037671820448,2e-05,2025-06-10 19:45:48.100513
10,2.482532398746677,3.143680696902068,44.63832063275402,37.95738378650115,2e-05,2025-06-10 19:51:01.409769
