epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_bleu_score,val_perplexity,val_rouge1,val_rouge2,val_rougeL
1,8.447890583674113,7.56686395406723,4.106027662115549,3.787150109486914,0.4484319411386572,1933.068574118574,20.16713210847507,0.2851602930762107,12.062685197954801
2,7.177284638086955,6.82567286491394,5.660957367374024,7.3594181589493655,0.8501511356917675,921.1960360549068,34.78313974120869,2.4047368613361804,20.988853708699132
3,6.586142237981161,6.553360819816589,6.414304539223371,7.771001558055933,0.9932918708000994,701.5981609394554,34.256092086401964,1.780779683698966,19.947869319785244
4,6.307922379175822,6.424309194087982,6.629406427617507,9.039783526386426,0.8133550300991503,616.654681671428,35.444703484256095,1.7873705516488063,19.355165035672652
5,6.056373023986817,6.125323235988617,8.431625481626932,10.91872277156956,0.9834737876050961,457.2925027764004,33.230552273528396,2.74134148760504,19.853564868237935
6,5.732365894317627,5.844492495059967,10.68282529980648,14.24043289263788,0.7872362197302795,345.3272420208427,29.543840371624622,1.4101441648011614,17.59663999363932
7,5.351929076512655,5.5045400857925415,14.15006140731478,17.82593777378205,1.2861690720050667,245.8053802916607,34.349054901380825,4.576492866483276,20.045351826687103
8,5.016222270329793,5.279258489608765,16.980761831463514,19.346200624855236,1.5968977621192126,196.22431902113462,25.71768710535658,4.086066655705244,16.984428368430155
9,4.7376593430837,5.067438006401062,19.362647128643978,21.30782668595569,0.9277353634048039,158.76704568480596,19.812146562216736,1.5529651781811638,12.7218619020901
10,4.490492566426595,4.875303506851196,21.337840799710772,22.696688937747098,1.2594212435197973,131.0139107966924,22.37545674285222,2.8874019456180875,14.500818315467654
11,4.260893249511719,4.704797208309174,23.211274028738355,24.635579222430515,0.7399303559383383,110.47587908537213,15.866250625903092,1.5907956824060971,9.969116489782582
12,4.065241130193074,4.547567307949066,25.251333235985395,25.703667536789318,1.603711006652894,94.40247659738087,18.829167316832887,3.1899931675334248,11.982700916369467
13,3.9054528872172036,4.459023743867874,26.894213460345377,27.390269007094318,1.155147947167894,86.40311633639924,19.6375879394519,1.753052828763927,11.963362587277008
14,3.771698220570882,4.381308138370514,28.05483083520489,28.010416679309547,2.0968123918685366,79.94254094026347,24.109906638029585,3.552602458293702,15.270409326798221
15,3.6583154439926147,4.332436680793762,29.369911299934305,28.733094381801816,1.2363578995108147,76.12956419320794,19.277630424598872,2.4923662256180137,12.16153595349065
16,3.552908174196879,4.284722208976746,30.12385994529148,29.600472324501816,1.1093082152956117,72.58238118504218,23.15373618728398,2.7515764371718534,15.365650019250086
17,3.4925530036290486,4.245358109474182,30.925381216084563,30.2596747188771,1.9100411706664873,69.78074481584633,24.179590014674922,3.160826799933381,14.443164111118866
18,3.4322760581970213,4.220716804265976,31.649036152948025,30.930036147672737,1.7267042682675513,68.08226846345076,24.45704398441345,3.650471707489539,14.407927093940923
19,3.3854512929916383,4.221551328897476,31.974984523327795,30.58715321964696,1.2557365430772331,68.1391085073615,22.581811455889735,3.0224874252063083,13.601693466500077
20,3.3658852259318035,4.207879066467285,32.255973429496116,30.80676773046536,1.292683175765856,67.21383245608766,24.313028370299982,3.3166300580540478,15.569840791955656
